Epoch,Time(s),Loss,F1
00000,6.1332,0.5871,0.0000
00001,5.1698,0.3613,0.0000
00002,4.8478,0.2445,0.1625
00003,4.6881,0.2743,0.0000
00004,4.5942,0.2207,0.0000
00005,4.5313,0.2578,0.0000
00006,4.4873,0.2436,0.0000
00007,4.4560,0.2127,0.0000
00008,4.4325,0.1908,0.0000
00009,4.4141,0.1775,0.0000
00010,4.4012,0.1683,0.0000
00011,4.3915,0.1672,0.0038
00012,4.3852,0.1726,0.0000
00013,4.3804,0.1484,0.0000
00014,4.3789,0.1438,0.0000
00015,4.3780,0.1495,0.0000
00016,4.3796,0.1518,0.0001
00017,4.3826,0.1482,0.0001
00018,4.3860,0.1429,0.0006
00019,4.3880,0.1403,0.0013
00020,4.3882,0.1425,0.0012
00021,4.3868,0.1446,0.0004
00022,4.3854,0.1424,0.0000
00023,4.3839,0.1399,0.0000
00024,4.3827,0.1402,0.0000
00025,4.3812,0.1417,0.0000
00026,4.3806,0.1421,0.0000
00027,4.3799,0.1411,0.0000
00028,4.3802,0.1400,0.0000
00029,4.3804,0.1399,0.0000
00030,4.3805,0.1403,0.0000
00031,4.3813,0.1404,0.0000
00032,4.3820,0.1398,0.0000
00033,4.3818,0.1392,0.0000
00034,4.3817,0.1393,0.0000
00035,4.3813,0.1398,0.0000
00036,4.3809,0.1398,0.0000
00037,4.3803,0.1393,0.0002
00038,4.3800,0.1390,0.0005
00039,4.3839,0.1392,0.0005
00040,4.3835,0.1393,0.0005
00041,4.3839,0.1391,0.0000
00042,4.3837,0.1389,0.0000
00043,4.3836,0.1390,0.0000
00044,4.3837,0.1391,0.0000
00045,4.3835,0.1391,0.0000
00046,4.3832,0.1389,0.0000
00047,4.3831,0.1388,0.0004
00048,4.3829,0.1389,0.0005
00049,4.3824,0.1389,0.0005
00050,4.3822,0.1388,0.0005
00051,4.3821,0.1387,0.0005
00052,4.3818,0.1387,0.0004
00053,4.3815,0.1387,0.0005
00054,4.3816,0.1386,0.0005
00055,4.3815,0.1385,0.0005
00056,4.3815,0.1385,0.0005
00057,4.3816,0.1385,0.0005
00058,4.3815,0.1385,0.0004
00059,4.3816,0.1384,0.0001
00060,4.3817,0.1384,0.0000
00061,4.3815,0.1383,0.0000
00062,4.3813,0.1383,0.0002
00063,4.3809,0.1382,0.0004
00064,4.3807,0.1382,0.0005
00065,4.3805,0.1381,0.0005
00066,4.3806,0.1381,0.0005
00067,4.3804,0.1380,0.0004
00068,4.3802,0.1379,0.0004
00069,4.3801,0.1379,0.0004
00070,4.3802,0.1378,0.0004
00071,4.3801,0.1378,0.0004
